 , , , , Group 0, , , , , , , Group 1, , , , , , , Group 2, , , , , , , Group 3, , , , , , , Group 4, , ,
time, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, 
0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 
500, 0.5, 0.5, 0.56, 0.44, 0.051882, 0.0656406, 37, 0.52, 0.48, 0.52, 0.48, 0.044718, 0.057978, 40, 0.48, 0.52, 0.6, 0.4, 0.03924, 0.060282, 36, 0.48, 0.52, 0.52, 0.48, 0.055404, 0.059424, 47, 0.5, 0.5, 0.54, 0.46, 0.041742, 0.03954, 32, 
1000, 0.52, 0.48, 0.56, 0.44, 0.0751548, 0.118054, 76, 0.5, 0.5, 0.6, 0.4, 0.0698528, 0.119694, 79, 0.46, 0.54, 0.6, 0.4, 0.076458, 0.106476, 72, 0.52, 0.48, 0.5, 0.5, 0.093695, 0.109123, 91, 0.5, 0.5, 0.58, 0.42, 0.085607, 0.074478, 64, 
1500, 0.56, 0.44, 0.54, 0.46, 0.0934237, 0.141965, 114, 0.5, 0.5, 0.6, 0.4, 0.0978735, 0.152589, 120, 0.48, 0.52, 0.6, 0.4, 0.103771, 0.150062, 116, 0.52, 0.48, 0.5, 0.5, 0.111219, 0.142174, 131, 0.44, 0.56, 0.58, 0.42, 0.131596, 0.111573, 106, 
2000, 0.6, 0.4, 0.54, 0.46, 0.11505, 0.165608, 156, 0.48, 0.52, 0.62, 0.38, 0.117852, 0.176888, 158, 0.46, 0.54, 0.62, 0.38, 0.132827, 0.21856, 170, 0.6, 0.4, 0.52, 0.48, 0.136749, 0.145821, 163, 0.44, 0.56, 0.66, 0.34, 0.15221, 0.148563, 149, 
2500, 0.62, 0.38, 0.56, 0.44, 0.130499, 0.190445, 195, 0.5, 0.5, 0.64, 0.36, 0.143002, 0.204741, 208, 0.48, 0.52, 0.64, 0.36, 0.147774, 0.238414, 205, 0.64, 0.36, 0.52, 0.48, 0.162153, 0.166396, 201, 0.42, 0.58, 0.68, 0.32, 0.160706, 0.167725, 183, 
3000, 0.62, 0.38, 0.6, 0.4, 0.16186, 0.21311, 239, 0.52, 0.48, 0.7, 0.3, 0.157045, 0.227828, 250, 0.48, 0.52, 0.68, 0.32, 0.166961, 0.225118, 241, 0.68, 0.32, 0.52, 0.48, 0.183529, 0.177955, 234, 0.48, 0.52, 0.62, 0.38, 0.16576, 0.215468, 227, 
3500, 0.64, 0.36, 0.62, 0.38, 0.16602, 0.219434, 274, 0.5, 0.5, 0.7, 0.3, 0.164486, 0.247556, 285, 0.52, 0.48, 0.7, 0.3, 0.179459, 0.229639, 284, 0.68, 0.32, 0.5, 0.5, 0.195127, 0.180316, 269, 0.5, 0.5, 0.72, 0.28, 0.166238, 0.222701, 262, 
4000, 0.66, 0.34, 0.66, 0.34, 0.186052, 0.217977, 309, 0.54, 0.46, 0.74, 0.26, 0.178055, 0.251324, 323, 0.54, 0.46, 0.74, 0.26, 0.196066, 0.247522, 334, 0.68, 0.32, 0.5, 0.5, 0.222066, 0.196952, 307, 0.54, 0.46, 0.78, 0.22, 0.17378, 0.230772, 302, 
4500, 0.72, 0.28, 0.66, 0.34, 0.192721, 0.230121, 346, 0.52, 0.48, 0.78, 0.22, 0.163508, 0.272433, 358, 0.6, 0.4, 0.8, 0.2, 0.205905, 0.248752, 374, 0.68, 0.32, 0.56, 0.44, 0.248334, 0.193912, 350, 0.56, 0.44, 0.76, 0.24, 0.175044, 0.245587, 339, 
5000, 0.72, 0.28, 0.66, 0.34, 0.199975, 0.237111, 388, 0.56, 0.44, 0.8, 0.2, 0.178576, 0.277424, 402, 0.6, 0.4, 0.76, 0.24, 0.194948, 0.248098, 410, 0.68, 0.32, 0.54, 0.46, 0.270905, 0.18662, 392, 0.58, 0.42, 0.76, 0.24, 0.178779, 0.261121, 378, 
5500, 0.74, 0.26, 0.7, 0.3, 0.192745, 0.234442, 420, 0.56, 0.44, 0.82, 0.18, 0.1812, 0.283888, 448, 0.62, 0.38, 0.76, 0.24, 0.197512, 0.258953, 448, 0.74, 0.26, 0.52, 0.48, 0.290119, 0.206742, 444, 0.62, 0.38, 0.72, 0.28, 0.189796, 0.265312, 427, 
6000, 0.74, 0.26, 0.66, 0.34, 0.208403, 0.202198, 452, 0.54, 0.46, 0.84, 0.16, 0.180227, 0.284814, 488, 0.6, 0.4, 0.82, 0.18, 0.187864, 0.240181, 482, 0.78, 0.22, 0.54, 0.46, 0.308804, 0.197539, 484, 0.68, 0.32, 0.7, 0.3, 0.192906, 0.25023, 458, 
6500, 0.76, 0.24, 0.68, 0.32, 0.207731, 0.200463, 481, 0.52, 0.48, 0.84, 0.16, 0.166295, 0.284211, 541, 0.6, 0.4, 0.84, 0.16, 0.19233, 0.244417, 521, 0.78, 0.22, 0.52, 0.48, 0.284857, 0.19883, 525, 0.66, 0.34, 0.7, 0.3, 0.199668, 0.249301, 495, 
7000, 0.8, 0.2, 0.68, 0.32, 0.221366, 0.187684, 517, 0.48, 0.52, 0.86, 0.14, 0.190864, 0.290518, 596, 0.58, 0.42, 0.82, 0.18, 0.19561, 0.236184, 551, 0.82, 0.18, 0.52, 0.48, 0.295418, 0.188424, 569, 0.62, 0.38, 0.68, 0.32, 0.219169, 0.241698, 536, 
7500, 0.88, 0.12, 0.68, 0.32, 0.205357, 0.181318, 542, 0.56, 0.44, 0.86, 0.14, 0.198195, 0.291051, 633, 0.56, 0.44, 0.82, 0.18, 0.197369, 0.250846, 594, 0.82, 0.18, 0.56, 0.44, 0.297945, 0.184441, 610, 0.6, 0.4, 0.7, 0.3, 0.196554, 0.227765, 565, 
8000, 0.88, 0.12, 0.68, 0.32, 0.211657, 0.171609, 577, 0.6, 0.4, 0.88, 0.12, 0.194742, 0.31256, 688, 0.56, 0.44, 0.8, 0.2, 0.197737, 0.25783, 630, 0.82, 0.18, 0.54, 0.46, 0.293066, 0.184639, 646, 0.52, 0.48, 0.66, 0.34, 0.206758, 0.257752, 613, 
8500, 0.88, 0.12, 0.7, 0.3, 0.215684, 0.161696, 606, 0.58, 0.42, 0.92, 0.08, 0.180696, 0.313773, 720, 0.54, 0.46, 0.78, 0.22, 0.197542, 0.262576, 671, 0.78, 0.22, 0.52, 0.48, 0.300292, 0.17505, 688, 0.5, 0.5, 0.68, 0.32, 0.231985, 0.263258, 657, 
9000, 0.84, 0.16, 0.7, 0.3, 0.217288, 0.163876, 637, 0.58, 0.42, 0.94, 0.06, 0.169866, 0.308367, 767, 0.54, 0.46, 0.78, 0.22, 0.188254, 0.270183, 709, 0.8, 0.2, 0.54, 0.46, 0.309155, 0.176973, 720, 0.54, 0.46, 0.7, 0.3, 0.224759, 0.252296, 692, 
